col,row,layer,cell_key,terrain,vegetation,fuel_moisture,slope,cell_size_ft,time_step_min,burn_duration_ticks,lat,lon
0,0,0,"0,0,0",SCRUB,0.31,0.12,0.0,6336,5.0,10,35.15,-119.95
1,0,0,"0,1,0",SCRUB,0.31,0.12,0.0,6336,5.0,10,35.15,-119.919388
2,0,0,"0,2,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.15,-119.888776
3,0,0,"0,3,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.15,-119.858163
4,0,0,"0,4,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.15,-119.827551
5,0,0,"0,5,0",GRASSLAND,0.3,0.08,0.0,6336,5.0,10,35.15,-119.796939
6,0,0,"0,6,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.766327
7,0,0,"0,7,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.735714
8,0,0,"0,8,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.705102
9,0,0,"0,9,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.67449
10,0,0,"0,10,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.643878
11,0,0,"0,11,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.613265
12,0,0,"0,12,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.582653
13,0,0,"0,13,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.552041
14,0,0,"0,14,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.15,-119.521429
15,0,0,"0,15,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.490816
16,0,0,"0,16,0",FOREST,0.3,0.18,0.0,6336,5.0,10,35.15,-119.460204
17,0,0,"0,17,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.429592
18,0,0,"0,18,0",ROCK,0.3,0.0,0.0,6336,5.0,10,35.15,-119.39898
19,0,0,"0,19,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.368367
20,0,0,"0,20,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.337755
21,0,0,"0,21,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.307143
22,0,0,"0,22,0",GRASSLAND,0.31,0.08,0.0,6336,5.0,10,35.15,-119.276531
23,0,0,"0,23,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.245918
24,0,0,"0,24,0",SCRUB,0.3,0.12,0.0,6336,5.0,10,35.15,-119.215306
